status,city,state,country,classification,event_id,recalling_firm,address_1,address_2,postal_code,voluntary_mandated,initial_firm_notification,distribution_pattern,recall_number,product_description,product_quantity,reason_for_recall,reason_for_recall_simplified,recall_initiation_date,center_classification_date,report_date,code_info,termination_date
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2490-2017,"10437 - WHOLE GRAIN APPLE CHUNK MUFFINS, I/W>100CT/CS, frozen, Net Wt. 13.65 lbs. per case.","16,407 lbs.",Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.  Mfg. dates: April 1, 2017 to May 15, 2017. ",2017-08-31
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2510-2017,"Item 11952 - TURKEY HAM LUNCH>36 TRAYS/CS, Frozen, Net. Wt. 24.76 lbs. per case","9,161 lbs.",Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.  Mfg dates: April 1, 2017 to May 15, 2017. ",2017-08-31
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2502-2017,"Item 11822 - TURKEY HAM W/PBJ LUNCH>36 TRAYS/CS, Frozen, Net Wt. 35.44 lbs. per case","4,501 lbs.",Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.  Mfg dates: April 1, 2017 to May 15, 2017. ",2017-08-31
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2512-2017,"Item 11956 - PBJ LUNCH>36 TRAYS/CS, Frozen, Net. Wt. 31.78 lbs. per case","30,223 lbs.",Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.  Mfg dates: April 1, 2017 to May 15, 2017. ",2017-08-31
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2475-2017,"Item 10025 - CHOCOLATE BROWNIES, I/W>100-CT/CS, Frozen, Net Wt. 13.02 lbs. per case.","6,575 lbs.",Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.   Mfg dates: April 1, 2017 to May 15, 2017. ",2017-08-31
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2516-2017,"Item 12730 - CHEESY EGG OMELET WITH SWEET RICE AND O'BRIEN POTATOES>24EA/CS, Frozen, Net. Wt. 19.19 lbs. per case","7,657 lbs",Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.  Mfg dates: April 1, 2017 to May 15, 2017. ",2017-08-31
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2527-2017,"Item 14612 - VEGAN CAJUN STYLE BLACK BEANS, RICE AND CORN>24EA/CS, Frozen, Net. Wt. 30.31 lbs. per case","1,243 lbs.",Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.  Mfg dates: April 1, 2017 to May 15, 2017. ",2017-08-31
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2529-2017,"Item 14618 - VEGAN NAVY BEAN HASH AND SWEET RICE WITH RAISINS>24EA/CS, Frozen, Net. Wt. 29.56 lbs. per case","1,803 lbs.",Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.  Mfg dates: April 1, 2017 to May 15, 2017. ",2017-08-31
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2482-2017,"Item 10240 - YELLOW CUPCAKES, I/W, NO ICING>100-CT/CS, Frozen, Net Wt. 13.89 lbs. per case.","4,555 lbs.",Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.  Mfg. dates: April 1, 2017 to May 15, 2017. ",2017-08-31
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2533-2017,"Item 13150 - RICE CUP>40-CT/CS, Frozen, Net Wt. 11.84 lbs. per case",971 lbs.,Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.  Mfg dates: April 1, 2017 to May 15, 2017. ",2017-08-31
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2496-2017,"Item 10536 - CHOCOLATE CHIP BREAKFAST BARS, I/W>100CT(2.9OZ)/CS, Frozen, Net Wt. 18.13 lbs. per case.",925 lbs.,Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.  Mfg dates: April 1, 2017 to May 15, 2017. ",2017-08-31
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2532-2017,"Item 147-85 - VEGAN CURRIED LENTIL STEW AND RICE BLEND>24EA/CS, Frozen, Net. Wt. 34.66 lbs. per case","1,629 lbs.",Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.  Mfg dates: April 1, 2017 to May 15, 2017. ",2017-08-31
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2503-2017,"Item 11823 - TURKEY SALAMI W/PBJ LUNCH>36 TRAYS/CS, FROZEN, Net Wt. 35.44 lbs. per case","5,422 lbs.",Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.  Mfg dates: April 1, 2017 to May 15, 2017. ",2017-08-31
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2500-2017,"Item 10880 - HALAL TURKEY LUNCH>36 TRAYS/CS, Frozen, Net Wt. 20.36 lbs. per case",163 lbs.,Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.  Mfg dates: April 1, 2017 to May 15, 2017. ",2017-08-31
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2487-2017,"Item 10315 - WHITE WHOLE WHEAT LOAF BREAD, 20-SL>18CT/CS, Frozen, Net wt. 29.26 lbs. per case.","15,303 lbs.",Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.  Mfg. dates: April 1, 2017 to May 15, 2017. ",2017-08-31
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2523-2017,"Item 14604 - VEGAN SLOPPY JOE, TATOR PUFFS AND VEGETABLES>24EA/CS, Frozen, Net. Wt. 26.89 lbs. per case","2,528 lbs.",Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.  Mfg dates: April 1, 2017 to May 15, 2017. ",2017-08-31
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2485-2017,"Item 10310 - WHITE WHOLE GRAIN HAMBURGER BUNS, BULK>192CT(24@8EA)/CS, Frozen, Net wt. 28.5 lbs. per case.","23,142 lbs.",Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.  Mfg. dates: April 1, 2017 to May 15, 2017. ",2017-08-31
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2506-2017,"Item 11922 - VEGAN CHEESE LUNCH>36 TRAYS/CS, Frozen, Net. Wt. 33.78  lbs. per case",237 lbs.,Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.  Mfg dates: April 1, 2017 to May 15, 2017. ",2017-08-31
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2518-2017,"Item 12738 - APPLE PIE BURRITO, SCRAMBLED EGGS AND POTATOES>24EA/CS, Frozen, Net. Wt. 22.88 lbs. per case","12,927 lbs.",Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.  Mfg dates: April 1, 2017 to May 15, 2017. ",2017-08-31
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2514-2017,"Item 12704 - CHEESE SAUCE WITH MACARONI AND GREEN BEANS>24EA/CS, Frozen, Net. Wt. 26.41 lbs. per case","6,999 lbs.",Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.  Mfg dates: April 1, 2017 to May 15, 2017. ",2017-08-31
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2486-2017,"Item 10312 - WHITE WHOLE WHEAT DINNER ROLLS, BULK>96CT/CS, Frozen, Net. wt. 10.8 lbs. per case.","59,910 lbs.",Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.  Mfg. dates: April 1, 2017 to May 15, 2017. ",2017-08-31
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2477-2017,"Item 10120 - GINGER SNAP COOKIES, I/W, 2-PK>100-CT/CS, Frozen, Net Wt. 13.89 lbs. per case.",1514 lbs.,Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.  Mfg. dates: April 1, 2017 to May 15, 2017. ",2017-08-31
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2531-2017,"Item 14622 - VEGAN SPICY BEAN BURRITO WITH RED CHILI SAUCE, RICE AND VEGETABLES>24EA/CS, Frozen, Net. Wt. 28.43  lbs. per case","2,019 lbs.",Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.  Mfg dates: April 1, 2017 to May 15, 2017. ",2017-08-31
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2504-2017,"Item 11832 - TURKEY (WM) W/PBJ LUNCH>36 TRAYS/CS, Frozen, Net. Wt. 35 lbs. per case","5,845 lbs.",Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.  Mfg dates: April 1, 2017 to May 15, 2017. ",2017-08-31
